Name,Licenses,Version,Repos
powermgmt-base,GPL-2+,1.33,bionic|now
procps,GPL-2.0+|LGPL-2.0+|LGPL-2.1+,2:3.3.12-3ubuntu1.2,bionic-updates|now
psmisc,GPL-2+,23.1-1ubuntu0.1,bionic-updates|now
publicsuffix,CC0|MPL-2.0,20180223.1310-1,bionic|now
pulseaudio-utils,GPL-2|LGPL-2|LGPL-2.1,1:11.1-1ubuntu7.4,bionic-updates|now
python,GPL-compatible|GPL-compatible|licenses,2.7.15~rc1-1,bionic|now
python-apt-common,GPL-2+|Permissive,1.6.5ubuntu0.2,bionic-updates|bionic-security|now
python-asn1crypto,Expat,0.24.0-1,bionic|now
python-beautifulsoup,bsdish,3.2.1-1,bionic|now
python-certifi,GPL-2|MPL-2,2018.1.18-2,bionic|now
python-cffi-backend,Expat,1.11.5-1,bionic|now
python-chardet,LGPL-2.1+,3.0.4-1,bionic|now
python-concurrent.futures,BSD-2-clause|Python-2.0,3.2.0-1,bionic|now
python-cryptography,Apache|Expat,2.1.4-1ubuntu1.3,bionic-updates|bionic-security|now
python-enum34,GPL-3,1.1.6-2,bionic|now
python-greenlet,GPL-3|MIT|PSFL-2,0.4.12-2,bionic|now
python-idna,BSD-3-clause|PSF-2|Unicode,2.6-1,bionic|now
python-ipaddress,Expat|PSF-2,1.0.17-1,bionic|now
python-minimal,GPL-compatible|GPL-compatible|licenses,2.7.15~rc1-1,bionic|now
python-msgpack,Apache-2.0|GPL-2+,0.5.6-1,bionic|now
python-neovim,Apache-2.0,0.2.0-1,bionic|now
python-openssl,Apache|2.0|This|code|is|in|the|public|domain.,17.5.0-1ubuntu1,bionic|now
python-pkg-resources,GPL-compatible|GPL-compatible|licenses,39.0.1-2,bionic|now
python-requests,Apache,2.18.4-2ubuntu0.1,bionic-updates|bionic-security|now
python-six,Expat,1.11.0-2,bionic|now
python-trollius,Apache-2,2.1~b1-5,bionic|now
python-urllib3,Expat|PSF-2,1.22-1ubuntu0.18.04.1,bionic-updates|bionic-security|now
python2.7,Apache-2.0|GPL-2,2.7.17-1~18.04,bionic-updates|now
python2.7-minimal,Apache-2.0|GPL-2,2.7.17-1~18.04,bionic-updates|now
python3,GPL-compatible|GPL-compatible|licenses,3.6.7-1~18.04,bionic-updates|now
python3-apport,GPL-2+,2.20.9-0ubuntu7.9,bionic-updates|bionic-security|now
python3-apt,GPL-2+|Permissive,1.6.5ubuntu0.2,bionic-updates|bionic-security|now
python3-asn1crypto,Expat,0.24.0-1,bionic|now
python3-attr,Expat,17.4.0-2,bionic|now
python3-automat,Expat,0.6.0-1,bionic|now
python3-blinker,BSD|BSD3|Expat,1.4+dfsg1-0.1,bionic|now
python3-certifi,GPL-2|MPL-2,2018.1.18-2,bionic|now
python3-cffi-backend,Expat,1.11.5-1,bionic|now
python3-chardet,LGPL-2.1+,3.0.4-1,bionic|now
python3-click,BSD-3-clause,6.7-3,bionic|now
python3-colorama,BSD-3|GPL-2+,0.3.7-1,bionic|now
python3-commandnotfound,GPL,18.04.5,bionic-updates|now
python3-configobj,BSD-3-clause,5.0.6-2,bionic|now
python3-constantly,CC0|MIT,15.1.0-1,bionic|now
python3-cryptography,Apache|Expat,2.1.4-1ubuntu1.3,bionic-updates|bionic-security|now
python3-dbus,AFL-2.1|Expat|GPL-2+|GPL-2+|or|AFL-2.1,1.2.6-1,bionic|now
python3-debconf,BSD-2-clause,1.5.66ubuntu1,bionic-updates|now
python3-debian,GPL-2+|GPL-3+,0.1.32,bionic|now
python3-distro-info,ISC,0.18ubuntu0.18.04.1,bionic-updates|bionic-security|now
python3-distupgrade,Expat|GPL-2+,1:18.04.37,bionic-updates|now
python3-gdbm:amd64,GPL-compatible|GPL-compatible|licenses,3.6.9-1~18.04,NULL
python3-gi,Expat|LGPL-2.1+,3.26.1-2ubuntu1,bionic-updates|now
python3-greenlet,GPL-3|MIT|PSFL-2,0.4.12-2,bionic|now
